+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 3563  | 0   | 3563 | 0     | 0   | 0   | GET    | /                  | 0.007 | 0.109 | 191.547 | 0.054 | 0.069 | 0.074 | 0.087 | 0.011  | 2545.000  | 5853.000    | 10415956.000  | 2923.367  |
| 1680  | 0   | 1680 | 0     | 0   | 0   | GET    | /posts             | 0.028 | 0.105 | 94.991  | 0.057 | 0.070 | 0.075 | 0.088 | 0.010  | 4853.000  | 5635.000    | 8784259.000   | 5228.726  |
| 1503  | 0   | 0    | 1503  | 0   | 0   | POST   | /login             | 0.001 | 0.108 | 86.773  | 0.058 | 0.072 | 0.078 | 0.090 | 0.012  | 189.000   | 199.000     | 289467.000    | 192.593   |
| 1516  | 0   | 1516 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.001 | 0.095 | 75.910  | 0.050 | 0.064 | 0.069 | 0.080 | 0.012  | 443.000   | 1602.000    | 1515724.000   | 999.818   |
| 89331 | 0   | 2443 | 86888 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.102 | 49.626  | 0.001 | 0.000 | 0.000 | 0.037 | 0.005  | 57252.000 | 1089626.000 | 351393319.000 | 3933.610  |
| 540   | 0   | 540  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.091 | 25.373  | 0.047 | 0.059 | 0.064 | 0.081 | 0.011  | 608.000   | 608.000     | 328320.000    | 608.000   |
| 274   | 0   | 0    | 137   | 137 | 0   | POST   | /                  | 0.002 | 0.174 | 20.288  | 0.074 | 0.135 | 0.140 | 0.167 | 0.036  | 190.000   | 211.000     | 54937.000     | 200.500   |
| 329   | 0   | 329  | 0     | 0   | 0   | GET    | /@.*               | 0.008 | 0.098 | 18.733  | 0.057 | 0.073 | 0.078 | 0.090 | 0.012  | 1339.000  | 5330.000    | 1050538.000   | 3193.125  |
| 207   | 0   | 0    | 207   | 0   | 0   | POST   | /register          | 0.015 | 0.096 | 13.848  | 0.067 | 0.081 | 0.086 | 0.095 | 0.011  | 189.000   | 189.000     | 39123.000     | 189.000   |
| 270   | 0   | 0    | 270   | 0   | 0   | GET    | /logout            | 0.001 | 0.078 | 12.754  | 0.047 | 0.060 | 0.065 | 0.078 | 0.010  | 189.000   | 189.000     | 51030.000     | 189.000   |
| 212   | 0   | 0    | 212   | 0   | 0   | POST   | /comment           | 0.013 | 0.103 | 11.485  | 0.054 | 0.069 | 0.072 | 0.089 | 0.012  | 209.000   | 211.000     | 44332.000     | 209.113   |
| 207   | 0   | 0    | 0     | 207 | 0   | GET    | /admin/banned      | 0.002 | 0.080 | 9.796   | 0.047 | 0.063 | 0.067 | 0.076 | 0.012  | 185.000   | 185.000     | 38295.000     | 185.000   |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 1.679 | 1.679 | 1.679   | 1.679 | 1.679 | 1.679 | 1.679 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 3947  | 0   | 1    | 3946  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.485     |
| 3947  | 0   | 1    | 3946  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.462     |
| 3947  | 0   | 1    | 3946  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.392     |
| 3947  | 0   | 1    | 3946  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.011     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
