+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4036   | 0   | 4036 | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.095 | 185.177 | 0.046 | 0.058 | 0.064 | 0.077 | 0.010  | 2480.000  | 5849.000    | 11819343.000  | 2928.479  |
| 1900   | 0   | 1900 | 0     | 0   | 0   | GET    | /posts             | 0.006 | 0.091 | 92.476  | 0.049 | 0.061 | 0.066 | 0.078 | 0.010  | 4843.000  | 5732.000    | 9939458.000   | 5231.294  |
| 1701   | 0   | 0    | 1701  | 0   | 0   | POST   | /login             | 0.001 | 0.111 | 88.187  | 0.052 | 0.066 | 0.071 | 0.083 | 0.012  | 189.000   | 199.000     | 327589.000    | 192.586   |
| 1709   | 0   | 1709 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.103 | 73.909  | 0.043 | 0.056 | 0.060 | 0.077 | 0.011  | 434.000   | 1605.000    | 1712297.000   | 1001.929  |
| 101084 | 0   | 2711 | 98373 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.099 | 49.651  | 0.000 | 0.000 | 0.000 | 0.032 | 0.005  | 0.000     | 1197974.000 | 396842004.000 | 3925.864  |
| 610    | 0   | 610  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.086 | 25.243  | 0.041 | 0.053 | 0.058 | 0.068 | 0.010  | 608.000   | 608.000     | 370880.000    | 608.000   |
| 312    | 0   | 0    | 156   | 156 | 0   | POST   | /                  | 0.002 | 0.166 | 20.846  | 0.067 | 0.129 | 0.137 | 0.155 | 0.034  | 190.000   | 211.000     | 62556.000     | 200.500   |
| 377    | 0   | 377  | 0     | 0   | 0   | GET    | /@.*               | 0.005 | 0.098 | 18.110  | 0.048 | 0.061 | 0.069 | 0.085 | 0.012  | 1339.000  | 5100.000    | 1211471.000   | 3213.451  |
| 235    | 0   | 0    | 235   | 0   | 0   | POST   | /register          | 0.022 | 0.098 | 14.571  | 0.062 | 0.074 | 0.080 | 0.087 | 0.011  | 189.000   | 189.000     | 44415.000     | 189.000   |
| 305    | 0   | 0    | 305   | 0   | 0   | GET    | /logout            | 0.001 | 0.069 | 12.603  | 0.041 | 0.053 | 0.058 | 0.066 | 0.010  | 189.000   | 189.000     | 57645.000     | 189.000   |
| 239    | 0   | 0    | 239   | 0   | 0   | POST   | /comment           | 0.008 | 0.087 | 12.096  | 0.051 | 0.063 | 0.069 | 0.076 | 0.010  | 209.000   | 211.000     | 49989.000     | 209.159   |
| 235    | 0   | 0    | 0     | 235 | 0   | GET    | /admin/banned      | 0.001 | 0.075 | 9.327   | 0.040 | 0.051 | 0.058 | 0.065 | 0.010  | 185.000   | 185.000     | 43475.000     | 185.000   |
| 1      | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 2.513 | 2.513 | 2.513   | 2.513 | 2.513 | 2.513 | 2.513 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4467   | 0   | 1    | 4466  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.429     |
| 4467   | 0   | 1    | 4466  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.408     |
| 4467   | 0   | 1    | 4466  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.347     |
| 4467   | 0   | 1    | 4466  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.010     |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
