+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 2340  | 0   | 2340 | 0     | 0   | 0   | GET    | /                  | 0.014 | 0.158 | 206.271 | 0.088 | 0.108 | 0.116 | 0.135 | 0.017  | 2556.000  | 5856.000    | 7057598.000   | 3016.068  |
| 1070  | 0   | 1070 | 0     | 0   | 0   | GET    | /posts             | 0.019 | 0.160 | 101.432 | 0.095 | 0.113 | 0.120 | 0.132 | 0.015  | 4853.000  | 5650.000    | 5585988.000   | 5220.550  |
| 1010  | 0   | 0    | 1010  | 0   | 0   | POST   | /login             | 0.001 | 0.137 | 82.856  | 0.082 | 0.101 | 0.107 | 0.118 | 0.017  | 189.000   | 199.000     | 194490.000    | 192.564   |
| 999   | 0   | 999  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.142 | 77.898  | 0.078 | 0.099 | 0.106 | 0.120 | 0.017  | 441.000   | 1599.000    | 993374.000    | 994.368   |
| 57662 | 0   | 1660 | 56002 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.140 | 50.239  | 0.001 | 0.000 | 0.000 | 0.059 | 0.008  | 0.000     | 1086666.000 | 244890163.000 | 4246.994  |
| 360   | 0   | 360  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.120 | 25.822  | 0.072 | 0.090 | 0.096 | 0.107 | 0.016  | 608.000   | 608.000     | 218880.000    | 608.000   |
| 212   | 0   | 212  | 0     | 0   | 0   | GET    | /@.*               | 0.016 | 0.146 | 18.838  | 0.089 | 0.110 | 0.114 | 0.125 | 0.018  | 1812.000  | 5463.000    | 700146.000    | 3302.575  |
| 192   | 0   | 0    | 96    | 96  | 0   | POST   | /                  | 0.007 | 0.181 | 18.683  | 0.097 | 0.153 | 0.163 | 0.174 | 0.034  | 190.000   | 211.000     | 38496.000     | 200.500   |
| 180   | 0   | 0    | 180   | 0   | 0   | GET    | /logout            | 0.001 | 0.124 | 13.412  | 0.075 | 0.093 | 0.097 | 0.110 | 0.015  | 189.000   | 189.000     | 34020.000     | 189.000   |
| 138   | 0   | 0    | 138   | 0   | 0   | POST   | /register          | 0.017 | 0.130 | 12.268  | 0.089 | 0.107 | 0.114 | 0.127 | 0.016  | 189.000   | 189.000     | 26082.000     | 189.000   |
| 140   | 0   | 0    | 140   | 0   | 0   | POST   | /comment           | 0.013 | 0.118 | 11.546  | 0.082 | 0.101 | 0.107 | 0.118 | 0.015  | 209.000   | 211.000     | 29282.000     | 209.157   |
| 138   | 0   | 0    | 0     | 138 | 0   | GET    | /admin/banned      | 0.001 | 0.119 | 9.933   | 0.072 | 0.093 | 0.099 | 0.115 | 0.016  | 185.000   | 185.000     | 25530.000     | 185.000   |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 1.705 | 1.705 | 1.705   | 1.705 | 1.705 | 1.705 | 1.705 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 2567  | 0   | 1    | 2566  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.746     |
| 2567  | 0   | 1    | 2566  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.711     |
| 2567  | 0   | 1    | 2566  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.603     |
| 2567  | 0   | 1    | 2566  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.017     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
