+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4064   | 0   | 4064 | 0     | 0   | 0   | GET    | /                  | 0.005 | 0.094 | 185.740 | 0.046 | 0.058 | 0.062 | 0.071 | 0.010  | 2501.000  | 5853.000    | 11490722.000  | 2827.441  |
| 1920   | 0   | 1920 | 0     | 0   | 0   | GET    | /posts             | 0.005 | 0.091 | 92.824  | 0.048 | 0.061 | 0.066 | 0.076 | 0.010  | 4853.000  | 5634.000    | 10050097.000  | 5234.426  |
| 1713   | 0   | 0    | 1713  | 0   | 0   | POST   | /login             | 0.001 | 0.092 | 89.469  | 0.052 | 0.066 | 0.070 | 0.078 | 0.011  | 189.000   | 199.000     | 329857.000    | 192.561   |
| 1735   | 0   | 1735 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.001 | 0.084 | 74.382  | 0.043 | 0.056 | 0.061 | 0.069 | 0.011  | 434.000   | 1686.000    | 1728066.000   | 996.003   |
| 101763 | 0   | 2708 | 99055 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.088 | 50.117  | 0.000 | 0.000 | 0.000 | 0.033 | 0.005  | 0.000     | 1089626.000 | 395000933.000 | 3881.577  |
| 610    | 0   | 610  | 0     | 0   | 0   | GET    | /login             | 0.003 | 0.079 | 25.217  | 0.041 | 0.054 | 0.058 | 0.068 | 0.010  | 608.000   | 608.000     | 370880.000    | 608.000   |
| 314    | 0   | 0    | 157   | 157 | 0   | POST   | /                  | 0.006 | 0.148 | 20.387  | 0.065 | 0.122 | 0.129 | 0.144 | 0.032  | 190.000   | 211.000     | 62957.000     | 200.500   |
| 379    | 0   | 379  | 0     | 0   | 0   | GET    | /@.*               | 0.006 | 0.083 | 18.097  | 0.048 | 0.063 | 0.067 | 0.080 | 0.011  | 1580.000  | 5316.000    | 1227379.000   | 3238.467  |
| 239    | 0   | 0    | 239   | 0   | 0   | POST   | /register          | 0.013 | 0.100 | 13.925  | 0.058 | 0.071 | 0.076 | 0.086 | 0.011  | 189.000   | 189.000     | 45171.000     | 189.000   |
| 305    | 0   | 0    | 305   | 0   | 0   | GET    | /logout            | 0.001 | 0.079 | 12.322  | 0.040 | 0.053 | 0.058 | 0.070 | 0.010  | 189.000   | 189.000     | 57645.000     | 189.000   |
| 245    | 0   | 0    | 245   | 0   | 0   | POST   | /comment           | 0.005 | 0.090 | 11.353  | 0.046 | 0.060 | 0.064 | 0.073 | 0.012  | 209.000   | 211.000     | 51235.000     | 209.122   |
| 239    | 0   | 0    | 0     | 239 | 0   | GET    | /admin/banned      | 0.001 | 0.066 | 9.346   | 0.039 | 0.051 | 0.055 | 0.064 | 0.010  | 185.000   | 185.000     | 44215.000     | 185.000   |
| 1      | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 4.018 | 4.018 | 4.018   | 4.018 | 4.018 | 4.018 | 4.018 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4494   | 0   | 1    | 4493  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.426     |
| 4494   | 0   | 1    | 4493  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.406     |
| 4494   | 0   | 1    | 4493  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.345     |
| 4494   | 0   | 1    | 4493  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.010     |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
