+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 3927  | 0   | 3927 | 0     | 0   | 0   | GET    | /                  | 0.005 | 0.093 | 184.880 | 0.047 | 0.060 | 0.065 | 0.077 | 0.011  | 2527.000  | 5866.000    | 11392899.000  | 2901.171  |
| 1860  | 0   | 1860 | 0     | 0   | 0   | GET    | /posts             | 0.007 | 0.097 | 90.083  | 0.048 | 0.061 | 0.065 | 0.076 | 0.010  | 4857.000  | 5619.000    | 9731173.000   | 5231.813  |
| 1696  | 0   | 0    | 1696  | 0   | 0   | POST   | /login             | 0.001 | 0.093 | 86.546  | 0.051 | 0.066 | 0.070 | 0.081 | 0.013  | 189.000   | 199.000     | 326544.000    | 192.538   |
| 1748  | 0   | 1748 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.001 | 0.087 | 73.889  | 0.042 | 0.055 | 0.059 | 0.071 | 0.012  | 439.000   | 1618.000    | 1743247.000   | 997.281   |
| 97869 | 0   | 2704 | 95165 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.089 | 48.526  | 0.000 | 0.000 | 0.000 | 0.031 | 0.005  | 62693.000 | 1155222.000 | 404397914.000 | 4132.033  |
| 600   | 0   | 600  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.090 | 24.610  | 0.041 | 0.053 | 0.059 | 0.067 | 0.012  | 608.000   | 608.000     | 364800.000    | 608.000   |
| 310   | 0   | 0    | 155   | 155 | 0   | POST   | /                  | 0.003 | 0.154 | 20.786  | 0.067 | 0.126 | 0.134 | 0.144 | 0.035  | 190.000   | 211.000     | 62155.000     | 200.500   |
| 380   | 0   | 380  | 0     | 0   | 0   | GET    | /@.*               | 0.005 | 0.084 | 18.325  | 0.048 | 0.061 | 0.065 | 0.075 | 0.012  | 1402.000  | 5123.000    | 1248089.000   | 3284.445  |
| 240   | 0   | 0    | 240   | 0   | 0   | POST   | /register          | 0.013 | 0.094 | 13.364  | 0.056 | 0.070 | 0.075 | 0.083 | 0.013  | 189.000   | 189.000     | 45360.000     | 189.000   |
| 300   | 0   | 0    | 300   | 0   | 0   | GET    | /logout            | 0.001 | 0.085 | 12.497  | 0.042 | 0.054 | 0.058 | 0.063 | 0.010  | 189.000   | 189.000     | 56700.000     | 189.000   |
| 246   | 0   | 0    | 246   | 0   | 0   | POST   | /comment           | 0.003 | 0.088 | 10.968  | 0.045 | 0.057 | 0.062 | 0.073 | 0.013  | 209.000   | 211.000     | 51446.000     | 209.130   |
| 240   | 0   | 0    | 0     | 240 | 0   | GET    | /admin/banned      | 0.001 | 0.073 | 9.281   | 0.039 | 0.052 | 0.057 | 0.065 | 0.012  | 185.000   | 185.000     | 44400.000     | 185.000   |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 2.848 | 2.848 | 2.848   | 2.848 | 2.848 | 2.848 | 2.848 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4372  | 0   | 1    | 4371  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.438     |
| 4372  | 0   | 1    | 4371  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.417     |
| 4372  | 0   | 1    | 4371  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.354     |
| 4372  | 0   | 1    | 4371  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.010     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
