+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 3623  | 0   | 3623 | 0     | 0   | 0   | GET    | /                  | 0.005 | 0.112 | 189.908 | 0.052 | 0.067 | 0.075 | 0.087 | 0.012  | 2493.000  | 5851.000    | 10630685.000  | 2934.222  |
| 1680  | 0   | 1680 | 0     | 0   | 0   | GET    | /posts             | 0.007 | 0.104 | 95.569  | 0.057 | 0.071 | 0.076 | 0.087 | 0.011  | 4833.000  | 5650.000    | 8777280.000   | 5224.571  |
| 1527  | 0   | 0    | 1527  | 0   | 0   | POST   | /login             | 0.001 | 0.113 | 87.666  | 0.057 | 0.073 | 0.077 | 0.091 | 0.013  | 189.000   | 199.000     | 294083.000    | 192.589   |
| 1536  | 0   | 1536 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.105 | 75.757  | 0.049 | 0.065 | 0.070 | 0.084 | 0.013  | 429.000   | 1686.000    | 1521027.000   | 990.252   |
| 90226 | 0   | 2450 | 87776 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.098 | 49.360  | 0.001 | 0.000 | 0.000 | 0.035 | 0.005  | 0.000     | 1089626.000 | 355722828.000 | 3942.576  |
| 548   | 0   | 548  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.092 | 25.726  | 0.047 | 0.061 | 0.069 | 0.085 | 0.012  | 608.000   | 608.000     | 333184.000    | 608.000   |
| 280   | 0   | 0    | 140   | 140 | 0   | POST   | /                  | 0.005 | 0.175 | 20.806  | 0.074 | 0.130 | 0.150 | 0.167 | 0.036  | 190.000   | 211.000     | 56140.000     | 200.500   |
| 331   | 0   | 331  | 0     | 0   | 0   | GET    | /@.*               | 0.008 | 0.091 | 17.602  | 0.053 | 0.066 | 0.072 | 0.085 | 0.012  | 1664.000  | 5375.000    | 1083565.000   | 3273.610  |
| 212   | 0   | 0    | 212   | 0   | 0   | POST   | /register          | 0.016 | 0.114 | 13.875  | 0.065 | 0.079 | 0.084 | 0.102 | 0.012  | 189.000   | 189.000     | 40068.000     | 189.000   |
| 274   | 0   | 0    | 274   | 0   | 0   | GET    | /logout            | 0.001 | 0.082 | 12.593  | 0.046 | 0.058 | 0.066 | 0.076 | 0.011  | 189.000   | 189.000     | 51786.000     | 189.000   |
| 213   | 0   | 0    | 213   | 0   | 0   | POST   | /comment           | 0.013 | 0.102 | 11.831  | 0.056 | 0.071 | 0.081 | 0.089 | 0.013  | 209.000   | 211.000     | 44565.000     | 209.225   |
| 212   | 0   | 0    | 0     | 212 | 0   | GET    | /admin/banned      | 0.001 | 0.083 | 9.380   | 0.044 | 0.058 | 0.061 | 0.078 | 0.012  | 185.000   | 185.000     | 39220.000     | 185.000   |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 2.334 | 2.334 | 2.334   | 2.334 | 2.334 | 2.334 | 2.334 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4007  | 0   | 1    | 4006  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.478     |
| 4007  | 0   | 1    | 4006  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.455     |
| 4007  | 0   | 1    | 4006  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.387     |
| 4007  | 0   | 1    | 4006  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.011     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
